63.0,M,gold,0,0,N,4880,HOUSEHOLD PAYMENT,24241.07307692308,22470.87999999999
56.0,M,classic,0,0,N,3629,HOUSEHOLD PAYMENT,15868.692307692305,15553
30.0,M,gold,0,0,N,3892,HOUSEHOLD PAYMENT,25726.08307692307,24758.56190476192
63.0,M,classic,0,0,N,1479,LEASING,34318.32031249999,29945.809523809523
19.0,F,junior,0,0,N,6589,HOUSEHOLD PAYMENT,26385.93999999999,25749.259259259266
38.0,M,classic,0,0,N,6268,HOUSEHOLD PAYMENT,24387.219230769228,22526.07999999999
18.0,M,junior,0,0,N,2074,HOUSEHOLD PAYMENT,22196.321874999994,19743.85806451612
31.0,F,classic,0,0,N,686,HOUSEHOLD PAYMENT,26177.648148148142,25025.023076923066
42.0,F,classic,0,0,N,4471.3,LEASING,49012.870491803274,44936.666666666664
29.0,F,gold,0,0,N,1705,HOUSEHOLD PAYMENT,38190.27551020408,33504.4375
20.0,F,junior,0,0,N,968,HOUSEHOLD PAYMENT,23839.356896551722,23448.425000000007
52.0,F,classic,0,0,N,6061,HOUSEHOLD PAYMENT,21181.44999999999,20855.503333333334
29.0,F,classic,0,0,N,4422.1,LEASING,48131.69014084509,40280.15714285719
56.0,M,classic,102876,12,A,1436,HOUSEHOLD PAYMENT,20028.756249999995,19611.206666666658
48.0,F,classic,352704,48,C,7348,LOAN PAYMENT,14193.927777777779,15616.68
25.0,F,classic,0,0,N,3735,HOUSEHOLD PAYMENT,19197.183999999997,18263.620408163253
56.0,M,classic,0,0,N,4803,HOUSEHOLD PAYMENT,17280.445652173912,17161.023255813943
45.0,M,classic,162576,36,C,3050,HOUSEHOLD PAYMENT,25054.64333333333,24205.657142857137
26.0,F,classic,0,0,N,5110,HOUSEHOLD PAYMENT,9065.565714285714,8969.916417910437
53.0,F,classic,88440,12,A,7370.2,LOAN PAYMENT,40164.240625000006,34382.012903225805
27.0,M,classic,0,0,N,8694,HOUSEHOLD PAYMENT,23368.273913043482,20124.55454545454
58.0,F,classic,0,0,N,4221,HOUSEHOLD PAYMENT,24213.790769230767,23955.260317460332
21.0,F,junior,0,0,N,6780,HOUSEHOLD PAYMENT,11972.151612903222,11677.413793103447
62.0,M,classic,0,0,N,6526,HOUSEHOLD PAYMENT,21109.03888888889,18491.399999999998
57.0,M,classic,0,0,N,4420.9,LEASING,46472.609090909085,37101.59999999999
37.0,M,classic,0,0,N,6260,HOUSEHOLD PAYMENT,15564.926086956526,14693.723809523814
37.0,F,classic,0,0,N,1270,HOUSEHOLD PAYMENT,14804.220967741934,14065.476666666655
35.0,M,classic,0,0,N,2394,LEASING,41230.444444444445,44390.70666666666
47.0,F,classic,0,0,N,13841,HOUSEHOLD PAYMENT,53573.01944444445,44951.91549295775
35.0,F,classic,0,0,N,5625,HOUSEHOLD PAYMENT,25961.04390243902,25695.274999999987
20.0,M,junior,0,0,N,2336,HOUSEHOLD PAYMENT,19196.590000000004,18953.063157894725
31.0,M,classic,0,0,N,3440.9,LEASING,37110.95571428572,31943.976811594242
54.0,F,classic,109344,12,C,8928,HOUSEHOLD PAYMENT,21251.986956521738,21158.295238095234
26.0,F,classic,0,0,N,9381,HOUSEHOLD PAYMENT,47828.560869565204,44160.53333333336
29.0,F,classic,0,0,N,3643,HOUSEHOLD PAYMENT,23616.69285714286,19144.676923076924
59.0,M,classic,0,0,N,2190,HOUSEHOLD PAYMENT,5236.647887323942,4701.573529411766
55.0,F,classic,0,0,N,4975.2,LEASING,54521.307142857135,46438.99272727277
31.0,F,gold,0,0,N,5462,HOUSEHOLD PAYMENT,25584.25,24230.15319148935
27.0,M,classic,160920,36,C,4470.5,LOAN PAYMENT,30204.02307692308,26390.274999999998
29.0,M,classic,0,0,N,2682.3,LEASING,29794.253571428562,24814.545454545456
31.0,F,classic,0,0,N,3362,HOUSEHOLD PAYMENT,22917.784848484844,20607.64999999999
32.0,M,classic,0,0,N,5578,HOUSEHOLD PAYMENT,13210.414814814816,11848.904000000004
39.0,M,classic,0,0,N,9848,HOUSEHOLD PAYMENT,24961.194117647057,25449.39999999999
39.0,F,classic,0,0,N,5842,HOUSEHOLD PAYMENT,16889.774999999998,15356.80909090909
68.0,M,classic,0,0,N,1628,HOUSEHOLD PAYMENT,6936.302985074627,6213.91428571428
42.0,F,classic,112752,36,C,3803,HOUSEHOLD PAYMENT,16990.29,16687.478571428564
20.0,M,junior,0,0,N,4777,HOUSEHOLD PAYMENT,18252.923529411768,15309.825000000003
55.0,M,classic,0,0,N,792,HOUSEHOLD PAYMENT,25394.31851851852,23481.176923076913
51.0,F,classic,468060,60,C,7801.2,LOAN PAYMENT,51428.43571428572,43807.75555555554
55.0,F,classic,0,0,N,4188,HOUSEHOLD PAYMENT,19827.98529411765,18720.64999999999
30.0,F,classic,0,0,N,1941,HOUSEHOLD PAYMENT,25534.29154929578,25767.57971014495
52.0,M,classic,0,0,N,6384,HOUSEHOLD PAYMENT,15623.115000000002,14590.16666666667
29.0,M,classic,0,0,N,6452,HOUSEHOLD PAYMENT,12252.11612903226,11292.310344827587
39.0,F,classic,0,0,N,2304.1,LEASING,53099.24999999999,51566.42857142857
51.0,F,classic,0,0,N,4711,HOUSEHOLD PAYMENT,19871.24705882353,17143.14666666667
28.0,F,classic,0,0,N,6524,HOUSEHOLD PAYMENT,13126.395744680856,11489.035555555547
21.0,M,classic,0,0,N,4977,HOUSEHOLD PAYMENT,66200.82,54444.35882352945
59.0,F,classic,0,0,N,1407,HOUSEHOLD PAYMENT,15768.483333333332,14907.51428571428
49.0,M,classic,0,0,N,302,HOUSEHOLD PAYMENT,27086.368085106384,27567.49333333333
54.0,M,classic,0,0,N,3090.5,LEASING,32280.196428571428,28687.316666666655
76.0,F,classic,0,0,N,2401,HOUSEHOLD PAYMENT,5668.280303030301,4758.967741935485
58.0,M,classic,0,0,N,1563,HOUSEHOLD PAYMENT,35299.23111111111,27531.281818181804
48.0,M,classic,0,0,N,1339,LEASING,36215.931818181816,31978.623809523808
56.0,F,classic,0,0,N,5042,HOUSEHOLD PAYMENT,14824.315151515155,13961.812499999985
47.0,F,classic,0,0,N,8499,HOUSEHOLD PAYMENT,20505.65915492957,20097.066666666673
45.0,M,classic,0,0,N,8727,HOUSEHOLD PAYMENT,31888.64166666667,21182.55999999999
19.0,M,junior,0,0,N,9316,HOUSEHOLD PAYMENT,22421.982926829267,22713.51282051281
22.0,M,classic,0,0,N,4591,HOUSEHOLD PAYMENT,24735.604347826087,24558.390476190467
24.0,F,classic,0,0,N,8166,HOUSEHOLD PAYMENT,24969.16481481481,24258.74615384615
18.0,M,junior,0,0,N,6482,HOUSEHOLD PAYMENT,20344.561538461538,20470.14999999999
22.0,M,junior,0,0,N,4473,LEASING,48918.05573770491,45405.75
63.0,M,classic,0,0,N,6941,HOUSEHOLD PAYMENT,25981.592537313427,25625.342424242444
61.0,M,gold,0,0,N,4783.1,LEASING,51420.03888888889,45564.276056338094
23.0,F,gold,0,0,N,3735,HOUSEHOLD PAYMENT,24424.50294117647,23248.14999999999
52.0,F,classic,0,0,N,4695,HOUSEHOLD PAYMENT,11631.251162790697,10982.36097560975
28.0,M,classic,0,0,N,8137,HOUSEHOLD PAYMENT,25459.99814814814,24199.18490566038
38.0,F,classic,0,0,N,5608,HOUSEHOLD PAYMENT,17724.916176470586,17343.002985074618
49.0,M,classic,0,0,N,9090,HOUSEHOLD PAYMENT,21488.528125,20503.85806451612
44.0,F,classic,0,0,N,2629.6,LEASING,31231.214285714294,26637.253731343328
